symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
300394,2026-06-10,2026-06-10,0.002313753217857541,154,0.49,0.0004441739405634486,72,0.7633333333333333,,,0.2733333333333333,UNCLASSIFIED,falls between configured gate tiers,132,132,-132.0,0.10445578231292507,0.07720650454454459,0.14489795918367365,0.12191321804940045
600276,2026-06-10,2026-06-10,0.0022319843084570396,157,0.48,0.0020709675901479574,48,0.8433333333333334,,,0.3633333333333334,UNCLASSIFIED,falls between configured gate tiers,133,133,-133.0,0.007875691783737926,-0.019373585984642564,0.03065134099616862,0.007666599861895416
600999,2026-06-10,2026-06-10,0.002169113884715005,159,0.47333333333333333,0.0005739004639920953,70,0.77,,,0.2966666666666667,UNCLASSIFIED,falls between configured gate tiers,134,134,-134.0,0.09802784222737837,0.07077856445899788,0.07772621809744784,0.054741476963174635
601328,2026-06-10,2026-06-10,0.0021052218141741955,164,0.45666666666666667,0.0006654897473640672,69,0.7733333333333333,,,0.31666666666666665,UNCLASSIFIED,falls between configured gate tiers,135,135,-135.0,-0.0028694404591104172,-0.030118718227490907,-0.04160688665710188,-0.06459162779137509
600028,2026-06-10,2026-06-10,0.0019068933591076971,167,0.44666666666666666,-0.0007279211624821216,114,0.6233333333333333,,,0.17666666666666664,UNCLASSIFIED,falls between configured gate tiers,136,136,-136.0,0.03846153846153855,0.011212260693158057,0.0064102564102563875,-0.016574484724016816
600015,2026-06-10,2026-06-10,0.0018025518642465742,169,0.44,0.0004779055849758404,71,0.7666666666666667,,,0.3266666666666667,UNCLASSIFIED,falls between configured gate tiers,137,137,-137.0,-0.00723589001447178,-0.034485167782852266,-0.04052098408104199,-0.0635057252153152
601988,2026-06-10,2026-06-10,0.001761363952810806,172,0.43,-0.0003078397521497651,92,0.6966666666666667,,,0.26666666666666666,UNCLASSIFIED,falls between configured gate tiers,138,138,-138.0,-0.02580645161290329,-0.05305572938128378,-0.06774193548387097,-0.09072667661814418
601728,2026-06-10,2026-06-10,0.0016399476516739755,176,0.4166666666666667,-0.0007862983008735782,117,0.6133333333333333,,,0.1966666666666666,UNCLASSIFIED,falls between configured gate tiers,139,139,-139.0,-0.044871794871794934,-0.07212107264017542,-0.08974358974358987,-0.11272833087786308
601229,2026-06-10,2026-06-10,0.0015919038242691555,178,0.41,-0.0006263108904289128,107,0.6466666666666666,,,0.23666666666666664,UNCLASSIFIED,falls between configured gate tiers,140,140,-140.0,-0.006564551422319487,-0.03381382919069997,-0.032822757111597434,-0.05580749824587064
601377,2026-06-10,2026-06-10,0.0015251700148222827,185,0.38666666666666666,-0.000908802041541553,120,0.6033333333333334,,,0.21666666666666673,UNCLASSIFIED,falls between configured gate tiers,141,141,-141.0,0.04965753424657526,0.022408256478194773,-0.003424657534246478,-0.02640939866851968
601018,2026-06-10,2026-06-10,0.0015227548808684694,186,0.38333333333333336,-0.0004091469758029896,96,0.6833333333333333,,,0.3,UNCLASSIFIED,falls between configured gate tiers,142,142,-142.0,0.0,-0.02724927776838049,-0.01807228915662651,-0.041057030290899715
601077,2026-06-10,2026-06-10,0.0014454927731809065,187,0.38,0.001206416407697917,63,0.7933333333333333,,,0.41333333333333333,UNCLASSIFIED,falls between configured gate tiers,143,143,-143.0,-0.024853801169590684,-0.05210307893797117,-0.08479532163742687,-0.10778006277170007
600900,2026-06-10,2026-06-10,0.0014202630290101705,188,0.37666666666666665,0.00018625383360823945,78,0.7433333333333333,,,0.36666666666666664,UNCLASSIFIED,falls between configured gate tiers,144,144,-144.0,-0.025098601649336638,-0.052347879417717125,-0.04410182861240586,-0.06708656974667906
601009,2026-06-10,2026-06-10,0.0013951999756041072,193,0.36,0.00028302088670522106,74,0.7566666666666667,,,0.3966666666666667,UNCLASSIFIED,falls between configured gate tiers,145,145,-145.0,-0.02443280977312401,-0.051682087541504496,-0.05322862129144856,-0.07621336242572177
000001,2026-06-10,2026-06-10,0.0013252848809423244,196,0.35,0.001909007079194566,52,0.83,,,0.48,UNCLASSIFIED,falls between configured gate tiers,146,146,-146.0,0.0,-0.02724927776838049,-0.038391224862888484,-0.06137596599716169
600919,2026-06-10,2026-06-10,0.0013174250322523018,197,0.3466666666666667,0.00018574189729257987,79,0.74,,,0.3933333333333333,UNCLASSIFIED,falls between configured gate tiers,147,147,-147.0,-0.01952461799660432,-0.04677389576498481,-0.04753820033955847,-0.07052294147383167
000776,2026-06-10,2026-06-10,0.0012784254250087141,199,0.34,-0.0005281493047613841,100,0.67,,,0.33,UNCLASSIFIED,falls between configured gate tiers,148,148,-148.0,0.12271540469973896,0.09546612693135847,0.07780678851174949,0.054822047377476285
600050,2026-06-10,2026-06-10,0.0011503440654743312,206,0.31666666666666665,-2.7444672236328894e-06,84,0.7233333333333334,,,0.40666666666666673,UNCLASSIFIED,falls between configured gate tiers,149,149,-149.0,0.002293577981651307,-0.024955699786729183,-0.01834862385321101,-0.04133336498748422
601668,2026-06-10,2026-06-10,0.0010960415932715617,207,0.31333333333333335,-0.00016830547409962208,89,0.7066666666666667,,,0.3933333333333333,UNCLASSIFIED,falls between configured gate tiers,150,150,-150.0,-0.006329113924050667,-0.03357839169243115,-0.02742616033755274,-0.05041090147182595
601319,2026-06-10,2026-06-10,0.0010782841445553732,209,0.30666666666666664,0.00011366987770634218,82,0.73,,,0.42333333333333334,UNCLASSIFIED,falls between configured gate tiers,151,151,-151.0,0.0326894502228825,0.005440172454502009,-0.011887072808320909,-0.034871813942594115
601318,2026-06-10,2026-06-10,0.0008217041380455817,216,0.2833333333333333,-0.0006591375539230527,109,0.64,,,0.3566666666666667,UNCLASSIFIED,falls between configured gate tiers,152,152,-152.0,0.0066489361702128935,-0.020600341598167596,-0.06193009118541026,-0.08491483231968347
601816,2026-06-10,2026-06-10,0.0007361014393667262,222,0.2633333333333333,-0.00053797872649475,102,0.6633333333333333,,,0.4,UNCLASSIFIED,falls between configured gate tiers,153,153,-153.0,-0.04809619238476959,-0.07534547015315007,-0.08016032064128265,-0.10314506177555585
601766,2026-06-10,2026-06-10,0.0006402218688842936,224,0.25666666666666665,0.0002827901574952173,75,0.7533333333333333,,,0.49666666666666665,UNCLASSIFIED,falls between configured gate tiers,154,154,-154.0,0.0017513134851137035,-0.025497964283266786,-0.019264448336252293,-0.0422491894705255
600018,2026-06-10,2026-06-10,0.0005969782949841599,227,0.24666666666666667,-0.0007023858117163239,111,0.6333333333333333,,,0.3866666666666666,UNCLASSIFIED,falls between configured gate tiers,155,155,-155.0,-0.004024144869215207,-0.031273422637595694,-0.01609657947686116,-0.03908132061113437
600958,2026-06-10,2026-06-10,0.0005788969183343835,229,0.24,-0.0003332412417443926,94,0.69,,,0.44999999999999996,UNCLASSIFIED,falls between configured gate tiers,156,156,-156.0,0.08049886621315183,0.053249588444771345,0.04421768707483009,0.02123294594055689
601881,2026-06-10,2026-06-10,0.0005751674688796118,230,0.23666666666666666,-0.00023889365487874808,91,0.7,,,0.46333333333333326,UNCLASSIFIED,falls between configured gate tiers,157,157,-157.0,0.06772575250836099,0.040476474739980506,0.01086956521739113,-0.012115175916882073
601985,2026-06-10,2026-06-10,0.0005020997961142433,237,0.21333333333333335,-6.996585016337745e-05,85,0.72,,,0.5066666666666666,UNCLASSIFIED,falls between configured gate tiers,158,158,-158.0,0.01206140350877205,-0.01518787425960844,0.0,-0.022984741134273203
002709,2026-06-10,2026-06-10,0.0004955867688613067,238,0.21,0.001111058836246835,66,0.7833333333333333,,,0.5733333333333334,UNCLASSIFIED,falls between configured gate tiers,159,159,-159.0,0.0788278992983904,0.051578621530009916,0.06500206355757321,0.0420173224233
600221,2026-06-10,2026-06-10,0.0004012666713309939,239,0.20666666666666667,-0.0008248657657635685,118,0.61,,,0.4033333333333333,UNCLASSIFIED,falls between configured gate tiers,160,160,-160.0,0.006756756756756799,-0.02049252101162369,-0.020270270270270285,-0.04325501140454349
600887,2026-06-10,2026-06-10,0.00031807747939633984,244,0.19,-8.632616216318043e-05,86,0.7166666666666667,,,0.5266666666666666,UNCLASSIFIED,falls between configured gate tiers,161,161,-161.0,-0.03162827020695036,-0.058877547975330846,-0.052713783678250636,-0.07569852481252384
600690,2026-06-10,2026-06-10,0.0003119366342949761,245,0.18666666666666668,-0.0007177078861931634,113,0.6266666666666667,,,0.44000000000000006,UNCLASSIFIED,falls between configured gate tiers,162,162,-162.0,-0.01847465656087166,-0.04572393432925215,-0.07863571766935107,-0.10162045880362428
601006,2026-06-10,2026-06-10,-0.0002583435931928453,262,0.13,-0.0007775894736700305,116,0.6166666666666667,,,0.4866666666666667,UNCLASSIFIED,falls between configured gate tiers,163,163,-163.0,0.001988071570576455,-0.025261206197804035,-0.017892644135188873,-0.04087738526946208
