arm,symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,fusion_score_col,fusion_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
baseline,688506,2026-06-02,2026-06-02,0.0197219544975302,5,0.9866666666666667,0.0043794501199980575,35,0.8866666666666667,,,-0.09999999999999998,A_MAIN,"base strong, recent confirms",4,0.025910931174089068,11,11,0.025910931174089068,-0.035591382642718994,0.006017664378312464,0.03700560976759526,0.07134220605335452
baseline,300502,2026-06-02,2026-06-02,0.010101840603832561,24,0.9233333333333333,0.009895357495429564,13,0.96,,,0.036666666666666625,A_MAIN,"base strong, recent confirms",22,0.025603392041748205,12,12,0.025603392041748205,-0.07318602942494112,-0.031576982403909666,-0.012472447717864488,0.021864148567894773
baseline,688256,2026-06-02,2026-06-02,0.013523101928740499,18,0.9433333333333334,0.006109102566698094,19,0.94,,,-0.0033333333333334103,A_MAIN,"base strong, recent confirms",16,0.025478740668614087,13,13,0.025478740668614087,-0.09269283796531458,-0.05108379094428312,-0.10674116537261436,-0.0724045690868551
baseline,600584,2026-06-02,2026-06-02,0.014438090412742851,14,0.9566666666666667,0.005609572260578791,24,0.9233333333333333,,,-0.033333333333333326,A_MAIN,"base strong, recent confirms",12,0.02541827541827542,14,14,0.02541827541827542,-0.12267565206539377,-0.0810666050443623,-0.07587670036191185,-0.04154010407615259
baseline,688183,2026-06-02,2026-06-02,0.01845292950898619,7,0.98,0.004362568097821909,36,0.8833333333333333,,,-0.09666666666666668,A_MAIN,"base strong, recent confirms",5,0.025342039800995024,15,15,0.025342039800995024,-0.12276995305164318,-0.08116090603061171,-0.08920187793427226,-0.054865281648512995
baseline,688008,2026-06-02,2026-06-02,0.013658309080932797,17,0.9466666666666667,0.006041915243454947,21,0.9333333333333333,,,-0.013333333333333308,A_MAIN,"base strong, recent confirms",15,0.025332691999358666,16,16,0.025332691999358666,-0.11654194564789289,-0.07493289862686142,-0.09019298936589215,-0.05585639308013289
baseline,000725,2026-06-02,2026-06-02,0.006600611619246404,38,0.8766666666666667,0.01183077395237563,9,0.9733333333333334,,,0.09666666666666668,A_MAIN,"base strong, recent confirms",31,0.024696835255841466,17,17,0.024696835255841466,0.12635379061371843,0.1679628376347499,0.07942238267148016,0.11375897895723942
baseline,300476,2026-06-02,2026-06-02,0.017535620790208033,9,0.9733333333333334,0.003926183496998256,39,0.8733333333333333,,,-0.10000000000000009,A_MAIN,"base strong, recent confirms",7,0.024593763724198508,18,18,0.024593763724198508,-0.10932548664554098,-0.06771643962450952,-0.06558397464916255,-0.031247378363403286
baseline,000988,2026-06-02,2026-06-02,0.01199885106253856,20,0.9366666666666666,0.005617494200483593,23,0.9266666666666666,,,-0.010000000000000009,A_MAIN,"base strong, recent confirms",18,0.02454819277108434,19,19,0.02454819277108434,-0.03587647593097165,0.005732571090059806,-0.034968210717529424,-0.0006316144317701639
baseline,300661,2026-06-02,2026-06-02,0.015118348983402622,12,0.9633333333333334,0.0029949657295786397,49,0.84,,,-0.1233333333333334,A_MAIN,"base strong, recent confirms",10,0.023063200815494393,20,20,0.023063200815494393,-0.055219780219780246,-0.013610733198748788,-0.03159340659340659,0.0027431896923526683
