arm,symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank,fusion_score_col,fusion_rank,arm_rank,arm_score,ret_fwd_3d,ret_fwd_3d_cs,ret_fwd_5d,ret_fwd_5d_cs
turnover_aware,002916,2026-06-29,2026-06-29,0.006762907351314558,67,0.7785234899328859,0.0195832601535222,7,0.9798657718120806,,,0.20134228187919467,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,46,0.022799388882359856,16,16,0.022799388882359856,-0.007468879668049655,-0.014131476610752067,,
turnover_aware,300476,2026-06-29,2026-06-29,0.01610152231594138,18,0.9429530201342282,0.005417175298841667,41,0.8657718120805369,,,-0.07718120805369133,A_MAIN,"base strong, recent confirms",16,0.02272150291952272,17,17,0.02272150291952272,-0.11072944029096787,-0.11739203723367028,,
turnover_aware,601066,2026-06-29,2026-06-29,0.012531404035970937,27,0.912751677852349,0.009092570951059297,31,0.8993288590604027,,,-0.01342281879194629,A_MAIN,"base strong, recent confirms",23,0.02248326386257421,18,18,0.02248326386257421,-0.02579979360165119,-0.032462390544353605,,
turnover_aware,300450,2026-06-29,2026-06-29,0.029180023547037085,3,0.9932885906040269,-0.001325423385240735,92,0.6946308724832215,,,-0.2986577181208053,A_MAIN,"base strong, recent confirms",2,0.022451963241436924,19,19,0.022451963241436924,-0.035117878192534424,-0.04178047513523684,,
turnover_aware,002532,2026-06-29,2026-06-29,0.025839612154673182,5,0.9865771812080537,-0.0005188854084853948,82,0.7281879194630873,,,-0.25838926174496646,A_MAIN,"base strong, recent confirms",4,0.022426868905742147,20,20,0.022426868905742147,0.0596458527493009,0.05298325580659848,,
turnover_aware,000807,2026-06-29,2026-06-29,0.02294031500959448,8,0.9765100671140939,-1.2756415734253226e-05,71,0.7651006711409396,,,-0.21140939597315433,A_MAIN,"base strong, recent confirms",7,0.022339470139200717,21,21,0.022339470139200717,0.012646793134598155,0.005984196191895742,,
turnover_aware,300433,2026-06-29,2026-06-29,0.007434632684940897,59,0.8053691275167785,0.01597539889156605,13,0.959731543624161,,,0.15436241610738255,A_MAIN,"base strong, recent confirms",43,0.022101991481524114,22,22,0.022101991481524114,-0.023108460678345044,-0.029771057621047457,,
turnover_aware,301269,2026-06-29,2026-06-29,0.005562936828111947,85,0.7181208053691275,0.020429575060035433,6,0.9832214765100671,,,0.2651006711409396,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,45,0.022048066875653083,23,23,0.022048066875653083,-0.13942388209680123,-0.14608647903950364,,
turnover_aware,600426,2026-06-29,2026-06-29,0.028208616135476906,4,0.9899328859060402,-0.0016520870613685864,100,0.6677852348993288,,,-0.3221476510067114,A_MAIN,"base strong, recent confirms",3,0.021875,24,24,0.021875,0.04013377926421402,0.033471182321511604,,
turnover_aware,300502,2026-06-29,2026-06-29,0.013753121867138295,23,0.9261744966442953,0.005039420411487303,43,0.8590604026845637,,,-0.06711409395973156,A_MAIN,"base strong, recent confirms",20,0.021756930635162007,25,25,0.021756930635162007,-0.1334431630971994,-0.1401057600399018,,
turnover_aware,300274,2026-06-29,2026-06-29,0.0066543507072330185,69,0.7718120805369127,0.01602336059035801,12,0.9630872483221476,,,0.1912751677852349,B_SHORT_BOOST,recent model strongly boosts an acceptable base name,47,0.021640826873385012,26,26,0.021640826873385012,-0.2066406741290404,-0.21330327107174282,,
turnover_aware,002625,2026-06-29,2026-06-29,0.011334289902441841,32,0.8959731543624161,0.008337901360908768,36,0.8825503355704698,,,-0.01342281879194629,A_MAIN,"base strong, recent confirms",27,0.02128623188405797,27,27,0.02128623188405797,0.06002638522427439,0.053363788281571976,,
