symbol,date,trade_date,recent_score,recent_rank,recent_pct
688009,2026-07-06,2026-07-06,-0.0025885978224381907,151,0.4983277591973244
600048,2026-07-06,2026-07-06,-0.002588653217530262,152,0.49498327759197325
300015,2026-07-06,2026-07-06,-0.0026117728196490574,153,0.4916387959866221
002236,2026-07-06,2026-07-06,-0.002737916369943204,154,0.4882943143812709
601138,2026-07-06,2026-07-06,-0.002779446176464708,155,0.48494983277591974
600031,2026-07-06,2026-07-06,-0.002782748238536304,156,0.4816053511705686
601328,2026-07-06,2026-07-06,-0.0027915213678659733,157,0.4782608695652174
600989,2026-07-06,2026-07-06,-0.0027937143480383643,158,0.47491638795986624
601058,2026-07-06,2026-07-06,-0.00280360973142626,159,0.47157190635451507
601117,2026-07-06,2026-07-06,-0.0028152812174011706,160,0.4682274247491639
601111,2026-07-06,2026-07-06,-0.002828348423375681,161,0.46488294314381273
601988,2026-07-06,2026-07-06,-0.0028335277502445455,162,0.46153846153846156
601127,2026-07-06,2026-07-06,-0.0028697810097317268,163,0.45819397993311034
601006,2026-07-06,2026-07-06,-0.0029410177812573043,164,0.45484949832775917
601816,2026-07-06,2026-07-06,-0.0030055303994573194,165,0.451505016722408
600690,2026-07-06,2026-07-06,-0.0030677235368187557,166,0.44816053511705684
600016,2026-07-06,2026-07-06,-0.0031117334165336667,167,0.44481605351170567
002049,2026-07-06,2026-07-06,-0.003132483050587871,168,0.4414715719063545
603893,2026-07-06,2026-07-06,-0.0031561090741939134,169,0.43812709030100333
601077,2026-07-06,2026-07-06,-0.0031747960495793356,170,0.43478260869565216
002920,2026-07-06,2026-07-06,-0.0032052010915555856,171,0.431438127090301
688047,2026-07-06,2026-07-06,-0.0032300377381548266,172,0.4280936454849498
603288,2026-07-06,2026-07-06,-0.0032572513409114354,173,0.42474916387959866
601857,2026-07-06,2026-07-06,-0.0032611372715438177,174,0.4214046822742475
300803,2026-07-06,2026-07-06,-0.0032960645681574313,175,0.4180602006688963
601288,2026-07-06,2026-07-06,-0.00349778560266958,176,0.41471571906354515
601021,2026-07-06,2026-07-06,-0.0035025362817685058,177,0.411371237458194
600938,2026-07-06,2026-07-06,-0.003505373962103,178,0.4080267558528428
001280,2026-07-06,2026-07-06,-0.003599563771302293,179,0.40468227424749165
601009,2026-07-06,2026-07-06,-0.0036247028112112575,180,0.4013377926421405
601878,2026-07-06,2026-07-06,-0.00373307324268047,181,0.3979933110367893
002304,2026-07-06,2026-07-06,-0.0037671998077189114,182,0.39464882943143814
600036,2026-07-06,2026-07-06,-0.003809552859374307,183,0.391304347826087
600905,2026-07-06,2026-07-06,-0.003825698228641515,184,0.3879598662207358
600050,2026-07-06,2026-07-06,-0.003838578033214174,185,0.38294314381270905
601669,2026-07-06,2026-07-06,-0.003838578033214174,186,0.38294314381270905
600489,2026-07-06,2026-07-06,-0.0038998838662199354,187,0.3779264214046823
600515,2026-07-06,2026-07-06,-0.003914664872870783,188,0.3745819397993311
601390,2026-07-06,2026-07-06,-0.003967834467002194,189,0.3712374581939799
600585,2026-07-06,2026-07-06,-0.003978016887149167,190,0.36789297658862874
600176,2026-07-06,2026-07-06,-0.004011680616445292,191,0.36454849498327757
600958,2026-07-06,2026-07-06,-0.004083695099510719,192,0.3612040133779264
003816,2026-07-06,2026-07-06,-0.004111125244198048,193,0.35785953177257523
600019,2026-07-06,2026-07-06,-0.00412425209875474,194,0.35451505016722407
601985,2026-07-06,2026-07-06,-0.004136769969136757,195,0.3511705685618729
603993,2026-07-06,2026-07-06,-0.004168284917646818,196,0.34782608695652173
001965,2026-07-06,2026-07-06,-0.004182447222210215,197,0.34448160535117056
601728,2026-07-06,2026-07-06,-0.004215057842397784,198,0.3411371237458194
600426,2026-07-06,2026-07-06,-0.004244940156214352,199,0.3377926421404682
002463,2026-07-06,2026-07-06,-0.004264235323411703,200,0.33444816053511706
000568,2026-07-06,2026-07-06,-0.004265303560196429,201,0.3311036789297659
600522,2026-07-06,2026-07-06,-0.0043226362124562205,202,0.3277591973244147
000001,2026-07-06,2026-07-06,-0.004333281099203623,203,0.32441471571906355
000792,2026-07-06,2026-07-06,-0.004361572505209962,204,0.3210702341137124
600219,2026-07-06,2026-07-06,-0.00437411128275902,205,0.3177257525083612
601398,2026-07-06,2026-07-06,-0.004386458866818272,206,0.31438127090301005
601618,2026-07-06,2026-07-06,-0.004418981826337661,207,0.3110367892976589
600406,2026-07-06,2026-07-06,-0.004485508892022124,208,0.3076923076923077
600600,2026-07-06,2026-07-06,-0.004598306409399703,209,0.30434782608695654
601012,2026-07-06,2026-07-06,-0.004610213668808478,210,0.3010033444816054
300896,2026-07-06,2026-07-06,-0.004638129273484279,211,0.2976588628762542
300750,2026-07-06,2026-07-06,-0.004729742904771702,212,0.29431438127090304
601607,2026-07-06,2026-07-06,-0.0047468350368678434,213,0.2909698996655518
600930,2026-07-06,2026-07-06,-0.004753688207387496,214,0.28762541806020064
300251,2026-07-06,2026-07-06,-0.004773105168396628,215,0.2842809364548495
601633,2026-07-06,2026-07-06,-0.004812697083584525,216,0.2809364548494983
