symbol,rows,min_date,max_date,fields,success,error
002532,120,2026-01-05,2026-07-06,"symbol,trade_date,main_net,small_net,medium_net,mid_net,large_net,super_net,main_net_rate,small_net_rate,medium_net_rate,large_net_rate,super_net_rate,close,pct_change,source,raw_update_time,fetched_at",True,
002558,120,2026-01-05,2026-07-06,"symbol,trade_date,main_net,small_net,medium_net,mid_net,large_net,super_net,main_net_rate,small_net_rate,medium_net_rate,large_net_rate,super_net_rate,close,pct_change,source,raw_update_time,fetched_at",True,
002594,120,2026-01-05,2026-07-06,"symbol,trade_date,main_net,small_net,medium_net,mid_net,large_net,super_net,main_net_rate,small_net_rate,medium_net_rate,large_net_rate,super_net_rate,close,pct_change,source,raw_update_time,fetched_at",True,
002600,120,2026-01-05,2026-07-06,"symbol,trade_date,main_net,small_net,medium_net,mid_net,large_net,super_net,main_net_rate,small_net_rate,medium_net_rate,large_net_rate,super_net_rate,close,pct_change,source,raw_update_time,fetched_at",True,
002602,120,2026-01-05,2026-07-06,"symbol,trade_date,main_net,small_net,medium_net,mid_net,large_net,super_net,main_net_rate,small_net_rate,medium_net_rate,large_net_rate,super_net_rate,close,pct_change,source,raw_update_time,fetched_at",True,
002625,120,2026-01-05,2026-07-06,"symbol,trade_date,main_net,small_net,medium_net,mid_net,large_net,super_net,main_net_rate,small_net_rate,medium_net_rate,large_net_rate,super_net_rate,close,pct_change,source,raw_update_time,fetched_at",True,
002648,120,2026-01-05,2026-07-06,"symbol,trade_date,main_net,small_net,medium_net,mid_net,large_net,super_net,main_net_rate,small_net_rate,medium_net_rate,large_net_rate,super_net_rate,close,pct_change,source,raw_update_time,fetched_at",True,
002709,120,2026-01-05,2026-07-06,"symbol,trade_date,main_net,small_net,medium_net,mid_net,large_net,super_net,main_net_rate,small_net_rate,medium_net_rate,large_net_rate,super_net_rate,close,pct_change,source,raw_update_time,fetched_at",True,
002714,120,2026-01-05,2026-07-06,"symbol,trade_date,main_net,small_net,medium_net,mid_net,large_net,super_net,main_net_rate,small_net_rate,medium_net_rate,large_net_rate,super_net_rate,close,pct_change,source,raw_update_time,fetched_at",True,
002736,120,2026-01-05,2026-07-06,"symbol,trade_date,main_net,small_net,medium_net,mid_net,large_net,super_net,main_net_rate,small_net_rate,medium_net_rate,large_net_rate,super_net_rate,close,pct_change,source,raw_update_time,fetched_at",True,
002837,120,2026-01-05,2026-07-06,"symbol,trade_date,main_net,small_net,medium_net,mid_net,large_net,super_net,main_net_rate,small_net_rate,medium_net_rate,large_net_rate,super_net_rate,close,pct_change,source,raw_update_time,fetched_at",True,
002916,120,2026-01-05,2026-07-06,"symbol,trade_date,main_net,small_net,medium_net,mid_net,large_net,super_net,main_net_rate,small_net_rate,medium_net_rate,large_net_rate,super_net_rate,close,pct_change,source,raw_update_time,fetched_at",True,
002920,120,2026-01-05,2026-07-06,"symbol,trade_date,main_net,small_net,medium_net,mid_net,large_net,super_net,main_net_rate,small_net_rate,medium_net_rate,large_net_rate,super_net_rate,close,pct_change,source,raw_update_time,fetched_at",True,
