as_of_date,rank,symbol,stock_name,industry_name,model_score,entry_close,latest_date,latest_close,return_current,benchmark_latest,benchmark_return_current,excess_return_current,hit_vs_benchmark_current
2026-06-18,163,000651,格力电器,家用电器,-0.002103,36.720000,2026-06-26,37.020000,0.008170,4868.220000,-0.093711,0.101881,True
2026-06-18,164,002736,国信证券,证券公司,-0.002104,9.850000,2026-06-26,9.990000,0.014213,4868.220000,-0.093711,0.107925,True
2026-06-18,165,601800,601800,建筑与工程,-0.002129,6.110000,2026-06-26,5.780000,-0.054010,4868.220000,-0.093711,0.039702,True
2026-06-18,166,601166,601166,商业银行,-0.002146,17.320000,2026-06-26,16.770000,-0.031755,4868.220000,-0.093711,0.061956,True
2026-06-18,167,601899,紫金矿业,贵金属,-0.002150,29.690000,2026-06-26,25.100000,-0.154598,4868.220000,-0.093711,-0.060886,False
2026-06-18,168,002938,鹏鼎控股,电子元件,-0.002153,119.910000,2026-06-26,110.980000,-0.074473,4868.220000,-0.093711,0.019239,True
2026-06-18,169,603259,药明康德,制药与生物科技服务,-0.002163,102.720000,2026-06-26,118.180000,0.150506,4868.220000,-0.093711,0.244218,True
2026-06-18,170,601881,中国银河,证券公司,-0.002188,12.090000,2026-06-26,12.470000,0.031431,4868.220000,-0.093711,0.125142,True
2026-06-18,171,601398,601398,商业银行,-0.002205,7.160000,2026-06-26,7.150000,-0.001397,4868.220000,-0.093711,0.092315,True
2026-06-18,172,600221,海航控股,运输业,-0.002232,1.450000,2026-06-26,1.390000,-0.041379,4868.220000,-0.093711,0.052332,True
2026-06-18,173,601995,中金公司,证券公司,-0.002253,33.400000,2026-06-26,35.560000,0.064671,4868.220000,-0.093711,0.158382,True
2026-06-18,174,688126,沪硅产业,半导体材料与设备,-0.002265,32.200000,,,,4868.220000,-0.093711,,False
2026-06-18,175,601328,601328,商业银行,-0.002267,6.680000,2026-06-26,6.510000,-0.025449,4868.220000,-0.093711,0.068262,True
2026-06-18,176,600941,600941,电信运营服务,-0.002300,91.650000,2026-06-26,86.820000,-0.052700,4868.220000,-0.093711,0.041011,True
2026-06-18,177,600919,600919,商业银行,-0.002328,11.220000,2026-06-26,11.090000,-0.011586,4868.220000,-0.093711,0.082125,True
2026-06-18,178,000538,云南白药,中药,-0.002356,48.430000,2026-06-26,47.000000,-0.029527,4868.220000,-0.093711,0.064184,True
2026-06-18,179,000001,平安银行,商业银行,-0.002379,10.520000,2026-06-26,10.230000,-0.027567,4868.220000,-0.093711,0.066145,True
2026-06-18,180,000157,中联重科,专用机械,-0.002381,7.580000,2026-06-26,7.310000,-0.035620,4868.220000,-0.093711,0.058091,True
2026-06-18,181,000408,藏格矿业,农用化工,-0.002391,76.420000,2026-06-26,68.050000,-0.109526,4868.220000,-0.093711,-0.015815,False
2026-06-18,182,600015,华夏银行,商业银行,-0.002396,6.630000,2026-06-26,6.510000,-0.018100,4868.220000,-0.093711,0.075612,True
2026-06-18,183,688009,中国通号,专用设备,-0.002401,4.930000,,,,4868.220000,-0.093711,,False
2026-06-18,184,601888,中国中免,旅游零售,-0.002409,55.330000,2026-06-26,53.320000,-0.036327,4868.220000,-0.093711,0.057384,True
2026-06-18,185,601601,601601,保险,-0.002430,29.980000,2026-06-26,28.430000,-0.051701,4868.220000,-0.093711,0.042010,True
2026-06-18,186,002311,海大集团,养殖,-0.002443,41.200000,2026-06-26,43.560000,0.057282,4868.220000,-0.093711,0.150993,True
2026-06-18,187,601229,601229,商业银行,-0.002469,8.840000,2026-06-26,8.890000,0.005656,4868.220000,-0.093711,0.099368,True
2026-06-18,188,600958,600958,证券公司,-0.002477,9.210000,2026-06-26,9.390000,0.019544,4868.220000,-0.093711,0.113255,True
2026-06-18,189,600900,600900,电力及电网,-0.002532,26.660000,2026-06-26,26.650000,-0.000375,4868.220000,-0.093711,0.093336,True
2026-06-18,190,300433,蓝思科技,电子终端及组件,-0.002533,55.770000,2026-06-26,55.590000,-0.003228,4868.220000,-0.093711,0.090484,True
2026-06-18,191,000338,潍柴动力,交通运输设备,-0.002544,30.090000,2026-06-26,27.950000,-0.071120,4868.220000,-0.093711,0.022591,True
2026-06-18,192,600660,600660,汽车零部件与轮胎,-0.002546,49.950000,,,,4868.220000,-0.093711,,False
2026-06-18,193,600031,三一重工,专用机械,-0.002608,18.370000,2026-06-26,17.680000,-0.037561,4868.220000,-0.093711,0.056150,True
2026-06-18,194,600029,南方航空,运输业,-0.002656,5.290000,2026-06-26,5.410000,0.022684,4868.220000,-0.093711,0.116396,True
2026-06-18,195,300750,宁德时代,储能设备,-0.002665,391.550000,2026-06-26,381.000000,-0.026944,4868.220000,-0.093711,0.066767,True
2026-06-18,196,600674,600674,电力及电网,-0.002667,14.310000,2026-06-26,13.990000,-0.022362,4868.220000,-0.093711,0.071349,True
2026-06-18,197,601318,601318,保险,-0.002686,49.380000,2026-06-26,47.230000,-0.043540,4868.220000,-0.093711,0.050172,True
2026-06-18,198,000333,美的集团,家用电器,-0.002728,78.000000,2026-06-26,74.828000,-0.040667,4868.220000,-0.093711,0.053045,True
2026-06-18,199,601186,601186,建筑与工程,-0.002840,6.300000,2026-06-26,6.020000,-0.044444,4868.220000,-0.093711,0.049267,True
2026-06-18,200,301308,江波龙,数字芯片设计,-0.002869,577.790000,2026-06-26,679.600000,0.176206,4868.220000,-0.093711,0.269917,True
2026-06-18,201,600930,600930,公用事业,-0.002894,5.280000,2026-06-26,4.830000,-0.085227,4868.220000,-0.093711,0.008484,True
