as_of_date,rank,symbol,stock_name,industry_name,model_score,entry_close,benchmark_close,exit_date_d5,exit_close_d5,return_d5,benchmark_return_d5,excess_return_d5,predicted_rank,realized_rank_by_excess_d5,rank_diff_d5,hit_vs_benchmark_d5
2026-06-18,131,600515,600515,房地产开发与园区,-0.000947,2.850000,5371.600324,2026-06-26,2.720000,-0.045614,-0.093711,0.048097,131,166.000000,35.000000,True
2026-06-18,132,600585,600585,建筑材料,-0.000994,17.760000,5371.600324,2026-06-26,17.170000,-0.033221,-0.093711,0.060491,132,132.000000,0.000000,True
2026-06-18,133,601901,方正证券,证券公司,-0.001012,6.660000,5371.600324,2026-06-26,7.150000,0.073574,-0.093711,0.167285,133,25.000000,-108.000000,True
2026-06-18,134,600926,600926,商业银行,-0.001043,15.640000,5371.600324,2026-06-26,14.850000,-0.050512,-0.093711,0.043200,134,173.000000,39.000000,True
2026-06-18,135,601225,601225,煤炭,-0.001078,22.970000,5371.600324,2026-06-26,20.700000,-0.098825,-0.093711,-0.005113,135,242.000000,107.000000,False
2026-06-18,136,000776,广发证券,证券公司,-0.001118,20.640000,5371.600324,2026-06-26,22.350000,0.082849,-0.093711,0.176560,136,21.000000,-115.000000,True
2026-06-18,137,000792,盐湖股份,农用化工,-0.001200,29.750000,5371.600324,2026-06-26,28.910000,-0.028235,-0.093711,0.065476,137,118.000000,-19.000000,True
2026-06-18,138,300059,东方财富,证券公司,-0.001244,18.600000,5371.600324,2026-06-26,20.070000,0.079032,-0.093711,0.172744,138,23.000000,-115.000000,True
2026-06-18,139,300014,亿纬锂能,电气部件与设备,-0.001364,66.660000,5371.600324,2026-06-26,62.210000,-0.066757,-0.093711,0.026955,139,194.000000,55.000000,True
2026-06-18,140,600011,华能国际,电力及电网,-0.001365,7.640000,5371.600324,2026-06-26,7.310000,-0.043194,-0.093711,0.050518,140,158.000000,18.000000,True
2026-06-18,141,605117,德业股份,家用电器,-0.001366,103.200000,5371.600324,2026-06-26,96.490000,-0.065019,-0.093711,0.028692,141,192.000000,51.000000,True
2026-06-18,142,601117,601117,建筑与工程,-0.001428,8.080000,5371.600324,2026-06-26,7.520000,-0.069307,-0.093711,0.024404,142,199.000000,57.000000,True
2026-06-18,143,002001,新 和 成,化学药,-0.001488,28.000000,5371.600324,2026-06-26,29.580000,0.056429,-0.093711,0.150140,143,30.000000,-113.000000,True
2026-06-18,144,000708,中信特钢,钢铁,-0.001493,13.530000,5371.600324,2026-06-26,12.950000,-0.042868,-0.093711,0.050844,144,156.000000,12.000000,True
2026-06-18,145,688271,联影医疗,医疗设备,-0.001494,103.480000,5371.600324,2026-06-26,98.230000,-0.050734,-0.093711,0.042977,145,174.000000,29.000000,True
2026-06-18,146,601688,601688,证券公司,-0.001566,19.550000,5371.600324,2026-06-26,20.410000,0.043990,-0.093711,0.137701,146,36.000000,-110.000000,True
2026-06-18,147,000063,中兴通讯,通信设备,-0.001573,37.890000,5371.600324,2026-06-26,35.670000,-0.058591,-0.093711,0.035121,147,187.000000,40.000000,True
2026-06-18,148,600309,万华化学,化学制品,-0.001595,69.050000,5371.600324,2026-06-26,71.790000,0.039681,-0.093711,0.133393,148,39.000000,-109.000000,True
2026-06-18,149,688072,拓荆科技,半导体材料与设备,-0.001649,734.000000,5371.600324,2026-06-26,832.000000,0.133515,-0.093711,0.227226,149,14.000000,-135.000000,True
2026-06-18,150,601788,601788,证券公司,-0.001671,14.190000,5371.600324,2026-06-26,14.510000,0.022551,-0.093711,0.116263,150,53.000000,-97.000000,True
2026-06-18,151,002594,比亚迪,乘用车,-0.001675,88.130000,5371.600324,2026-06-26,,,-0.093711,,151,,,False
2026-06-18,152,601336,601336,保险,-0.001680,57.550000,5371.600324,2026-06-26,59.600000,0.035621,-0.093711,0.129333,152,41.000000,-111.000000,True
2026-06-18,153,002050,三花智控,家用电器,-0.001699,45.740000,5371.600324,2026-06-26,41.500000,-0.092698,-0.093711,0.001014,153,236.000000,83.000000,True
2026-06-18,154,601288,601288,商业银行,-0.001737,6.370000,5371.600324,2026-06-26,6.190000,-0.028257,-0.093711,0.065454,154,119.000000,-35.000000,True
2026-06-18,155,601628,601628,保险,-0.001830,33.700000,5371.600324,2026-06-26,35.040000,0.039763,-0.093711,0.133474,155,38.000000,-117.000000,True
2026-06-18,156,601066,601066,证券公司,-0.001852,24.900000,5371.600324,2026-06-26,30.250000,0.214859,-0.093711,0.308571,156,3.000000,-153.000000,True
2026-06-18,157,000630,铜陵有色,工业金属,-0.001901,7.650000,5371.600324,2026-06-26,6.220000,-0.186928,-0.093711,-0.093217,157,263.000000,106.000000,False
2026-06-18,158,002304,洋河股份,酒,-0.001902,41.030000,5371.600324,2026-06-26,39.220000,-0.044114,-0.093711,0.049597,158,162.000000,4.000000,True
2026-06-18,159,002837,英维克,专用机械,-0.001917,74.370000,5371.600324,2026-06-26,82.570000,0.110260,-0.093711,0.203971,159,18.000000,-141.000000,True
2026-06-18,160,302132,中航成飞,航空航天,-0.001995,59.330000,5371.600324,2026-06-26,57.080000,-0.037923,-0.093711,0.055788,160,145.000000,-15.000000,True
2026-06-18,161,600030,中信证券,证券公司,-0.002054,26.560000,5371.600324,2026-06-26,27.740000,0.044428,-0.093711,0.138139,161,35.000000,-126.000000,True
2026-06-18,162,600489,600489,贵金属,-0.002101,21.920000,5371.600324,2026-06-26,18.300000,-0.165146,-0.093711,-0.071435,162,261.000000,99.000000,False
2026-06-18,163,000651,格力电器,家用电器,-0.002103,36.720000,5371.600324,2026-06-26,37.020000,0.008170,-0.093711,0.101881,163,66.000000,-97.000000,True
2026-06-18,164,002736,国信证券,证券公司,-0.002104,9.850000,5371.600324,2026-06-26,9.990000,0.014213,-0.093711,0.107925,164,59.000000,-105.000000,True
2026-06-18,165,601800,601800,建筑与工程,-0.002129,6.110000,5371.600324,2026-06-26,5.780000,-0.054010,-0.093711,0.039702,165,180.000000,15.000000,True
