symbol,date,trade_date,base_score,base_rank,base_pct
688303,2026-07-03,2026-07-03,0.00939548082464411,27,0.912751677852349
688223,2026-07-03,2026-07-03,0.009032928304003941,28,0.9093959731543624
600999,2026-07-03,2026-07-03,0.008893236165715074,29,0.9060402684563759
688396,2026-07-03,2026-07-03,0.008426510212942929,30,0.9026845637583892
601898,2026-07-03,2026-07-03,0.008245396099860188,31,0.8993288590604027
600233,2026-07-03,2026-07-03,0.008108224698589975,32,0.8959731543624161
002475,2026-07-03,2026-07-03,0.008043123799918343,33,0.8926174496644296
301269,2026-07-03,2026-07-03,0.007868191527407814,34,0.889261744966443
600893,2026-07-03,2026-07-03,0.007809233212368629,35,0.8859060402684564
000408,2026-07-03,2026-07-03,0.0075929141911198865,36,0.8825503355704698
001979,2026-07-03,2026-07-03,0.007571398667591768,37,0.8791946308724832
000338,2026-07-03,2026-07-03,0.007550813964800267,38,0.8758389261744967
600482,2026-07-03,2026-07-03,0.0074429015730468,39,0.87248322147651
603259,2026-07-03,2026-07-03,0.007417274066102822,40,0.8691275167785235
000657,2026-07-03,2026-07-03,0.00725398268502661,41,0.8657718120805369
688041,2026-07-03,2026-07-03,0.0071892007125670026,42,0.8624161073825504
600438,2026-07-03,2026-07-03,0.007127330756224447,43,0.8590604026845637
002938,2026-07-03,2026-07-03,0.007054841561687972,44,0.8557046979865772
603799,2026-07-03,2026-07-03,0.007028114538412622,45,0.8523489932885906
603986,2026-07-03,2026-07-03,0.006972398432477314,46,0.8489932885906041
600426,2026-07-03,2026-07-03,0.0066959009408705025,47,0.8456375838926175
600066,2026-07-03,2026-07-03,0.006552294152335748,48,0.8422818791946308
002920,2026-07-03,2026-07-03,0.00652459906502328,49,0.8389261744966443
600030,2026-07-03,2026-07-03,0.0063457786103340765,50,0.8355704697986577
002179,2026-07-03,2026-07-03,0.0062946198049028965,51,0.8322147651006712
600549,2026-07-03,2026-07-03,0.0062611258811186375,52,0.8288590604026845
002028,2026-07-03,2026-07-03,0.006231592174257908,53,0.825503355704698
300274,2026-07-03,2026-07-03,0.0061515738795330215,54,0.8221476510067114
000776,2026-07-03,2026-07-03,0.005950544889668593,55,0.8187919463087249
688472,2026-07-03,2026-07-03,0.005827584135126686,56,0.8154362416107382
601899,2026-07-03,2026-07-03,0.005774675911728951,57,0.8120805369127517
600845,2026-07-03,2026-07-03,0.00563702268940839,58,0.8087248322147651
600048,2026-07-03,2026-07-03,0.005348201675310819,59,0.8053691275167785
600875,2026-07-03,2026-07-03,0.005098988738482614,60,0.802013422818792
601688,2026-07-03,2026-07-03,0.0049393566018873965,61,0.7986577181208053
600588,2026-07-03,2026-07-03,0.004902193422617843,62,0.7953020134228188
