symbol,date,close
002714,2026-06-29,35.99
002714,2026-06-30,34.99
002714,2026-07-01,36.98
002714,2026-07-02,37.35
002714,2026-07-03,36.9
300896,2026-06-29,88.3
300896,2026-06-30,87.2
300896,2026-07-01,90.16
300896,2026-07-02,89.58
300896,2026-07-03,91.63
688111,2026-06-29,212.7
688111,2026-06-30,211.82
688111,2026-07-01,220.32
688111,2026-07-02,215.41
688111,2026-07-03,211.35
601818,2026-06-29,2.95
601818,2026-06-30,2.89
601818,2026-07-01,2.93
601818,2026-07-02,2.97
601818,2026-07-03,2.98
600930,2026-06-29,4.78
600930,2026-06-30,4.74
600930,2026-07-01,4.83
600930,2026-07-02,4.84
600930,2026-07-03,4.9
600346,2026-06-29,18.9
600346,2026-06-30,17.71
600346,2026-07-01,17.78
600346,2026-07-02,17.7
600346,2026-07-03,17.8
688036,2026-06-29,57.0
688036,2026-06-30,58.95
688036,2026-07-01,54.98
688036,2026-07-02,56.65
688036,2026-07-03,60.26
600016,2026-06-29,3.24
600016,2026-06-30,3.17
600016,2026-07-01,3.2
600016,2026-07-02,3.27
600016,2026-07-03,3.28
601727,2026-06-29,7.08
601727,2026-06-30,7.0
601727,2026-07-01,7.01
601727,2026-07-02,6.88
601727,2026-07-03,6.96
002028,2026-06-29,173.89
002028,2026-06-30,173.0
002028,2026-07-01,165.77
002028,2026-07-02,155.44
002028,2026-07-03,167.65
600111,2026-06-29,47.62
600111,2026-06-30,48.05
600111,2026-07-01,47.46
600111,2026-07-02,48.2
600111,2026-07-03,48.57
600660,2026-06-29,52.15
600660,2026-06-30,50.44
600660,2026-07-01,50.0
600660,2026-07-02,49.81
600660,2026-07-03,50.93
601225,2026-06-29,21.0
601225,2026-06-30,20.35
601225,2026-07-01,20.97
601225,2026-07-02,21.5
601225,2026-07-03,21.54
600600,2026-06-29,53.0
600600,2026-06-30,52.23
600600,2026-07-01,52.89
600600,2026-07-02,52.91
600600,2026-07-03,53.38
000596,2026-06-29,78.84
000596,2026-06-30,79.8
000596,2026-07-01,80.23
000596,2026-07-02,78.93
000596,2026-07-03,79.23
600104,2026-06-29,9.82
600104,2026-06-30,9.76
600104,2026-07-01,9.78
600104,2026-07-02,9.88
600104,2026-07-03,10.11
002602,2026-06-29,13.87
002602,2026-06-30,14.1
002602,2026-07-01,13.73
002602,2026-07-02,13.65
002602,2026-07-03,13.46
002558,2026-06-29,27.23
002558,2026-06-30,27.56
002558,2026-07-01,28.11
002558,2026-07-02,27.71
002558,2026-07-03,27.15
601186,2026-06-29,6.04
601186,2026-06-30,5.95
