symbol,date,trade_date,base_score,base_rank,base_pct,recent_score,recent_rank,recent_pct,risk_flags,event_flags,short_boost,gate_tier,gate_reason,final_rank
601857,2026-07-03,2026-07-03,0.002395952894048085,122,0.5939597315436241,-0.005614557021937523,248,0.17114093959731544,,,-0.42281879194630867,E_REJECT,base and recent are both weak,75
601825,2026-07-03,2026-07-03,0.002323771263120022,123,0.5906040268456376,-0.002478911764574654,159,0.4697986577181208,,,-0.12080536912751683,E_REJECT,base and recent are both weak,76
600023,2026-07-03,2026-07-03,0.002310491331193165,124,0.587248322147651,-0.00593379690006348,257,0.14093959731543623,,,-0.44630872483221473,E_REJECT,base and recent are both weak,77
600028,2026-07-03,2026-07-03,0.0022977848994691257,125,0.5838926174496645,-0.004859094269101969,225,0.24664429530201343,,,-0.33724832214765105,E_REJECT,base and recent are both weak,78
601169,2026-07-03,2026-07-03,0.0022875266805614755,126,0.5805369127516778,-0.0015391319013341404,130,0.5671140939597316,,,-0.01342281879194629,E_REJECT,base and recent are both weak,79
600887,2026-07-03,2026-07-03,0.0022797976111709807,127,0.5771812080536913,-0.003917447429548596,200,0.33221476510067116,,,-0.24496644295302017,E_REJECT,base and recent are both weak,80
600196,2026-07-03,2026-07-03,0.002262628520143001,129,0.5704697986577181,-0.0019663898619258716,140,0.5335570469798657,,,-0.03691275167785235,E_REJECT,base and recent are both weak,81
600027,2026-07-03,2026-07-03,0.0022483850026537074,130,0.5671140939597316,-0.004751842820661852,222,0.25838926174496646,,,-0.3087248322147651,E_REJECT,base and recent are both weak,82
600036,2026-07-03,2026-07-03,0.002208804043892395,132,0.5604026845637584,-0.006142839131329995,261,0.12751677852348994,,,-0.43288590604026844,E_REJECT,base and recent are both weak,83
600926,2026-07-03,2026-07-03,0.0021890209158244057,133,0.5570469798657718,-0.002115643818778258,143,0.5234899328859061,,,-0.03355704697986572,E_REJECT,base and recent are both weak,84
600660,2026-07-03,2026-07-03,0.00217381538560843,134,0.5536912751677853,-0.006488834250227039,267,0.10738255033557047,,,-0.4463087248322148,E_REJECT,base and recent are both weak,85
300896,2026-07-03,2026-07-03,0.0021737298395463032,135,0.5503355704697986,-0.0036857881490635876,192,0.35906040268456374,,,-0.1912751677852349,E_REJECT,base and recent are both weak,86
601077,2026-07-03,2026-07-03,0.0021645255240701705,136,0.5469798657718121,-0.003524646676694024,185,0.3825503355704698,,,-0.16442953020134232,E_REJECT,base and recent are both weak,87
600741,2026-07-03,2026-07-03,0.0021622148229958464,137,0.5436241610738255,-0.0022710170042123056,148,0.5067114093959731,,,-0.03691275167785235,E_REJECT,base and recent are both weak,88
601006,2026-07-03,2026-07-03,0.002157798178991069,138,0.540268456375839,-0.001575469024225938,131,0.5637583892617449,,,0.02348993288590595,E_REJECT,base and recent are both weak,89
002466,2026-07-03,2026-07-03,0.0021379503513374283,139,0.5369127516778524,-0.001226497562920213,122,0.5939597315436241,,,0.057046979865771785,E_REJECT,base and recent are both weak,90
003816,2026-07-03,2026-07-03,0.0020864404470330527,140,0.5335570469798657,-0.00368876277528327,193,0.35570469798657717,,,-0.17785234899328856,E_REJECT,base and recent are both weak,91
601018,2026-07-03,2026-07-03,0.0020855117033308002,141,0.5302013422818792,-0.004259849801669214,209,0.30201342281879195,,,-0.22818791946308725,E_REJECT,base and recent are both weak,92
601390,2026-07-03,2026-07-03,0.0020233001347515754,142,0.5268456375838926,-0.0035077024752706546,184,0.3859060402684564,,,-0.1409395973154362,E_REJECT,base and recent are both weak,93
601360,2026-07-03,2026-07-03,0.0020146076008260927,143,0.5234899328859061,-0.0027752631357235466,170,0.43288590604026844,,,-0.09060402684563762,E_REJECT,base and recent are both weak,94
600104,2026-07-03,2026-07-03,0.0019953719376275877,144,0.5201342281879194,-0.0023698873728368363,154,0.4865771812080537,,,-0.03355704697986572,E_REJECT,base and recent are both weak,95
300015,2026-07-03,2026-07-03,0.0019895543749846828,145,0.5167785234899329,-0.0012643391948605033,127,0.5771812080536913,,,0.06040268456375841,E_REJECT,base and recent are both weak,96
600085,2026-07-03,2026-07-03,0.0019572998735739363,146,0.5134228187919463,-0.0051114307330033,234,0.2181208053691275,,,-0.2953020134228188,E_REJECT,base and recent are both weak,97
600760,2026-07-03,2026-07-03,0.0019368974848558097,147,0.5100671140939598,-0.0036640686696075954,190,0.36577181208053694,,,-0.14429530201342283,E_REJECT,base and recent are both weak,98
601668,2026-07-03,2026-07-03,0.0018576551925686992,149,0.5033557046979866,-0.00604177239476585,259,0.1342281879194631,,,-0.3691275167785235,E_REJECT,base and recent are both weak,99
601838,2026-07-03,2026-07-03,0.0018431931471775617,150,0.5,-0.0036847530785272344,191,0.3624161073825503,,,-0.1375838926174497,E_REJECT,base and recent are both weak,100
