arm,metric,mean,std,n,icir
rrf,top50_ret_fwd_3d_cs_gross,0.015311137375631717,0.024567484419205938,20,
base_only,top50_ret_fwd_3d_cs_net,0.011903649990807529,0.02357900500511697,20,
fixed_weight_0.3,top50_ret_fwd_3d_cs_net,0.013888048297519256,0.024057502587323237,20,
fixed_weight_0.5,top50_ret_fwd_3d_cs_net,0.014256758102217803,0.024836129419109485,20,
fixed_weight_0.7,top50_ret_fwd_3d_cs_net,0.013956399826815841,0.02566935579440689,20,
gate_first,top50_ret_fwd_3d_cs_net,0.013863412766740033,0.02452086364118924,20,
gate_first_noveto,top50_ret_fwd_3d_cs_net,0.013863412766740033,0.02452086364118924,20,
recent_heavy,top50_ret_fwd_3d_cs_net,0.013888048297519256,0.024057502587323237,20,
recent_only,top50_ret_fwd_3d_cs_net,0.013978412855297686,0.025468411110051773,20,
rrf,top50_ret_fwd_3d_cs_net,0.014311137375631717,0.024567484419205938,20,
base_only,top50_ret_fwd_3d_gross,0.014615131765530458,0.037961461469307324,20,
fixed_weight_0.3,top50_ret_fwd_3d_gross,0.016599530072242193,0.03752710735424305,20,
fixed_weight_0.5,top50_ret_fwd_3d_gross,0.01696823987694074,0.03890512196632715,20,
fixed_weight_0.7,top50_ret_fwd_3d_gross,0.016667881601538773,0.039301535722273115,20,
gate_first,top50_ret_fwd_3d_gross,0.01657489454146296,0.03855953487952447,20,
gate_first_noveto,top50_ret_fwd_3d_gross,0.01657489454146296,0.03855953487952447,20,
recent_heavy,top50_ret_fwd_3d_gross,0.016599530072242193,0.03752710735424305,20,
recent_only,top50_ret_fwd_3d_gross,0.016689894630020623,0.038378939987060726,20,
rrf,top50_ret_fwd_3d_gross,0.017022619150354648,0.03870539209809022,20,
base_only,top50_ret_fwd_3d_net,0.013615131765530458,0.037961461469307324,20,
fixed_weight_0.3,top50_ret_fwd_3d_net,0.01559953007224219,0.03752710735424305,20,
fixed_weight_0.5,top50_ret_fwd_3d_net,0.01596823987694074,0.03890512196632715,20,
fixed_weight_0.7,top50_ret_fwd_3d_net,0.015667881601538772,0.039301535722273115,20,
gate_first,top50_ret_fwd_3d_net,0.01557489454146296,0.03855953487952447,20,
gate_first_noveto,top50_ret_fwd_3d_net,0.01557489454146296,0.03855953487952447,20,
recent_heavy,top50_ret_fwd_3d_net,0.01559953007224219,0.03752710735424305,20,
recent_only,top50_ret_fwd_3d_net,0.015689894630020622,0.038378939987060726,20,
rrf,top50_ret_fwd_3d_net,0.016022619150354647,0.03870539209809022,20,
base_only,top50_ret_fwd_5d_cs_gross,0.020527899131967554,0.035650325983505905,19,
fixed_weight_0.3,top50_ret_fwd_5d_cs_gross,0.020539179887282995,0.03169496778605806,19,
fixed_weight_0.5,top50_ret_fwd_5d_cs_gross,0.020733744170743668,0.034067319754686055,19,
fixed_weight_0.7,top50_ret_fwd_5d_cs_gross,0.0207332823066724,0.035117456516519964,19,
gate_first,top50_ret_fwd_5d_cs_gross,0.020320698547476833,0.03309564765210566,19,
gate_first_noveto,top50_ret_fwd_5d_cs_gross,0.020320698547476833,0.03309564765210566,19,
recent_heavy,top50_ret_fwd_5d_cs_gross,0.020539179887282995,0.03169496778605806,19,
recent_only,top50_ret_fwd_5d_cs_gross,0.021117592899759476,0.03159234733449353,19,
rrf,top50_ret_fwd_5d_cs_gross,0.021079953360057864,0.035094789666936264,19,
base_only,top50_ret_fwd_5d_cs_net,0.019527899131967553,0.035650325983505905,19,
fixed_weight_0.3,top50_ret_fwd_5d_cs_net,0.019539179887282994,0.03169496778605806,19,
fixed_weight_0.5,top50_ret_fwd_5d_cs_net,0.019733744170743667,0.034067319754686055,19,
fixed_weight_0.7,top50_ret_fwd_5d_cs_net,0.0197332823066724,0.035117456516519964,19,
gate_first,top50_ret_fwd_5d_cs_net,0.019320698547476832,0.03309564765210566,19,
gate_first_noveto,top50_ret_fwd_5d_cs_net,0.019320698547476832,0.03309564765210566,19,
recent_heavy,top50_ret_fwd_5d_cs_net,0.019539179887282994,0.03169496778605806,19,
recent_only,top50_ret_fwd_5d_cs_net,0.020117592899759475,0.03159234733449353,19,
rrf,top50_ret_fwd_5d_cs_net,0.020079953360057863,0.035094789666936264,19,
base_only,top50_ret_fwd_5d_gross,0.022268381211747006,0.04960785222340485,19,
